date,ticker,predicted_return,actual_return
2023-01-17,AFDIS.zw,0.0035576436,0.0
2023-01-17,BAT.zw,0.0035576436,0.0
2023-01-17,CAFCA.zw,0.0035576436,0.0
2023-01-17,CBZ.zw,0.0035576436,0.0
2023-01-17,DLTA.zw,0.0034245872,0.0
2023-01-17,DZL.zw,0.0034119352,0.0
2023-01-17,ECO.zw,0.0031806785,0.0
2023-01-17,OKZ.zw,0.0027128602,0.0
2023-01-17,SEED.zw,0.0027405454,0.0
2023-01-18,AFDIS.zw,0.0029555988,0.0
2023-01-18,BAT.zw,0.002910846,-0.0009487666034152
2023-01-18,CAFCA.zw,0.0026486544,0.0
2023-01-18,CBZ.zw,0.0022586966,0.0
2023-01-18,DLTA.zw,0.0016490797,-0.0123456790123456
2023-01-18,DZL.zw,0.0017257241,0.0009615384615382
2023-01-18,ECO.zw,0.0019890196,-0.0009606147934676
2023-01-18,OKZ.zw,0.0021363487,0.0038461538461536
2023-01-18,SEED.zw,0.002289008,0.0814176245210729
2023-01-19,AFDIS.zw,0.0036575436,0.0
2023-01-19,BAT.zw,0.003630396,0.0
2023-01-19,CAFCA.zw,0.0035588467,0.0
2023-01-19,CBZ.zw,0.003984693,0.0
2023-01-19,DLTA.zw,0.0038838612,0.0
2023-01-19,DZL.zw,0.0037597287,0.0106288751107175
2023-01-19,ECO.zw,0.0038134728,0.0
2023-01-19,OKZ.zw,0.0028452289,0.0
2023-01-19,SEED.zw,0.0025857813,0.0
2023-01-20,AFDIS.zw,0.0023031472,0.0
2023-01-20,BAT.zw,0.0022938023,0.0
2023-01-20,CAFCA.zw,0.0023087356,0.0
2023-01-20,CBZ.zw,0.002386711,0.0
2023-01-20,DLTA.zw,0.0020860531,0.0
2023-01-20,DZL.zw,0.0020781555,-0.0175284837861523
2023-01-20,ECO.zw,0.0020510745,0.0
2023-01-20,OKZ.zw,0.0022414208,0.0
2023-01-20,SEED.zw,0.002304136,0.0
2023-01-23,AFDIS.zw,0.0023983945,0.0
2023-01-23,BAT.zw,0.0024196361,0.0
2023-01-23,CAFCA.zw,0.0024845693,0.0
2023-01-23,CBZ.zw,0.0024276273,0.0
2023-01-23,DLTA.zw,0.002225852,0.0
2023-01-23,DZL.zw,0.0022144965,0.0
2023-01-23,ECO.zw,0.0019558957,0.0178412132024976
2023-01-23,OKZ.zw,0.0022647143,0.0
2023-01-23,SEED.zw,0.0022415144,0.0525854513584576
2023-01-24,AFDIS.zw,0.002976031,0.0
2023-01-24,BAT.zw,0.0029818474,-0.0049958368026644
2023-01-24,CAFCA.zw,0.0033386732,0.0
2023-01-24,CBZ.zw,0.0035250103,0.0
2023-01-24,DLTA.zw,0.0037127014,0.0
2023-01-24,DZL.zw,0.0032840911,0.0
2023-01-24,ECO.zw,0.0035072195,0.0050209205020921
2023-01-24,OKZ.zw,0.0026548572,0.0
2023-01-24,SEED.zw,0.0023539243,0.0499583680266442
